d,two_theta,intensity,h,k,l,mult,phase,id
2.6336,34.0146,341.11,0,0,9,2,Hydrocerussite,96-201-2741
2.6233,34.1524,538.6,1,1,0,6,Hydrocerussite,96-201-2741
2.4896,36.0469,92.78,1,1,3,12,Hydrocerussite,96-201-2741
2.4817,36.1649,0.35,1,0,8,6,Hydrocerussite,96-201-2741
2.2614,39.8298,13.58,2,0,1,6,Hydrocerussite,96-201-2741
2.2312,40.3933,243.46,2,0,2,6,Hydrocerussite,96-201-2741
2.1853,41.2795,0.58,1,1,6,12,Hydrocerussite,96-201-2741
2.1212,42.5858,148.6,2,0,4,6,Hydrocerussite,96-201-2741
2.1015,43.0066,181.39,1,0,10,6,Hydrocerussite,96-201-2741
2.0487,44.1718,182.52,2,0,5,6,Hydrocerussite,96-201-2741
1.9752,45.908,3.81,0,0,12,2,Hydrocerussite,96-201-2741
1.9469,46.6137,16.72,1,0,11,6,Hydrocerussite,96-201-2741
1.8865,48.1983,127,2,0,7,6,Hydrocerussite,96-201-2741
1.8586,48.9709,293.01,1,1,9,12,Hydrocerussite,96-201-2741
1.8028,50.5897,0.4,2,0,8,6,Hydrocerussite,96-201-2741
1.7128,53.4518,3.98,2,1,1,12,Hydrocerussite,96-201-2741
1.6996,53.9025,163.95,2,1,2,12,Hydrocerussite,96-201-2741
1.6921,54.1604,31.97,1,0,13,6,Hydrocerussite,96-201-2741
1.6494,55.6801,37.03,2,1,4,12,Hydrocerussite,96-201-2741
1.6401,56.0256,25.21,2,0,10,6,Hydrocerussite,96-201-2741
1.6146,56.989,72.72,2,1,5,12,Hydrocerussite,96-201-2741
1.5864,58.097,133.21,1,0,14,6,Hydrocerussite,96-201-2741
1.5801,58.3515,3.56,0,0,15,2,Hydrocerussite,96-201-2741
1.5779,58.4421,69.96,1,1,12,12,Hydrocerussite,96-201-2741
1.5634,59.0385,38.76,2,0,11,6,Hydrocerussite,96-201-2741
1.5316,60.3894,131.84,2,1,7,12,Hydrocerussite,96-201-2741
1.5145,61.1419,40.78,3,0,0,6,Hydrocerussite,96-201-2741
1.4875,62.3783,60.08,3,0,3,6,Hydrocerussite,96-201-2741
1.4858,62.4568,12.94,2,1,8,12,Hydrocerussite,96-201-2741
1.4219,65.6024,11.22,2,0,13,6,Hydrocerussite,96-201-2741
1.4142,66.0088,12.32,3,0,6,6,Hydrocerussite,96-201-2741
1.4084,66.3131,9.61,1,0,16,6,Hydrocerussite,96-201-2741
1.3907,67.2712,30.42,2,1,10,12,Hydrocerussite,96-201-2741
1.3575,69.1434,42.42,2,0,14,6,Hydrocerussite,96-201-2741
1.3535,69.3747,6.48,1,1,15,12,Hydrocerussite,96-201-2741
1.343,70.0007,39.78,2,1,11,12,Hydrocerussite,96-201-2741
1.3329,70.608,3.26,1,0,17,6,Hydrocerussite,96-201-2741
1.3168,71.6043,14.68,0,0,18,2,Hydrocerussite,96-201-2741
1.3129,71.8481,37.4,3,0,9,6,Hydrocerussite,96-201-2741
1.3116,71.9293,33.87,2,2,0,6,Hydrocerussite,96-201-2741
1.2939,73.0715,39.16,2,2,3,12,Hydrocerussite,96-201-2741
1.2584,75.4873,0.14,3,1,1,12,Hydrocerussite,96-201-2741
1.2531,75.8621,64.38,3,1,2,12,Hydrocerussite,96-201-2741
1.2501,76.0773,2.33,2,1,13,12,Hydrocerussite,96-201-2741
1.2448,76.4589,14.16,2,2,6,12,Hydrocerussite,96-201-2741
1.2409,76.745,17.46,2,0,16,6,Hydrocerussite,96-201-2741
1.2326,77.3551,8.91,3,1,4,12,Hydrocerussite,96-201-2741
