# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-91.0312,0.111228,0.161833,4,15,0,98.1585,-0.131654,2.03004,0.821689,2.22345,0.107661,2.16891,-1.30929,-3.67666,-2.13255,-1.74272,-1.44854,-1.48465,-4.06842,-7.94181,-0.131654,0.107661
-93.8346,0.969394,0.0406143,5,31,0,97.6756,0.259515,2.22402,1.1163,2.13331,0.325429,1.5371,-1.23302,-3.13847,-2.12854,-1.48432,-1.26542,-1.25596,-3.00798,-7.73955,0.259515,0.325429
-94.246,0.940631,0.0588748,5,63,0,100.035,-0.0344286,1.84716,0.811565,1.60574,0.384778,2.28377,-1.99084,-3.24705,-1.21186,-1.38485,-1.61113,-1.6907,-3.50074,-7.98344,-0.0344286,0.384778
-90.8563,0.945093,0.080225,4,31,0,102.994,-0.000725993,2.07537,0.935699,2.14265,-0.325527,1.93474,-1.30938,-2.89737,-1.48051,-1.16165,-1.43275,-1.8047,-3.77071,-7.88814,-0.000725993,-0.325527
-91.6784,0.978829,0.10995,4,31,0,95.1673,-0.164124,2.18311,0.8169,1.70922,-0.338781,1.65807,-1.56517,-2.69235,-1.42637,-1.23886,-1.50864,-1.80955,-2.74996,-7.79868,-0.164124,-0.338781
-95.5252,0.217365,0.160676,4,15,0,100.192,0.330197,1.97364,1.44034,1.46009,0.365279,1.88023,-1.96563,-2.66027,-1.5164,-1.29312,-1.4987,-1.67601,-3.95466,-7.87448,0.330197,0.365279
-93.387,0.994803,0.0514938,5,63,0,100.68,0.300404,2.17198,1.17057,2.46272,0.2097,1.87193,-1.32281,-3.28808,-1.37733,-1.31531,-1.77136,-1.46897,-3.76671,-7.8466,0.300404,0.2097
-91.9477,0.91136,0.0776504,5,31,0,100.658,0.170326,1.81568,1.10185,1.64993,0.0106048,1.65981,-1.79821,-4.13072,-1.27053,-2.11552,-1.52878,-2.07451,-4.21612,-7.77915,0.170326,0.0106048
-97.972,0.972528,0.0989555,4,15,0,101.784,0.724361,1.86812,1.47231,1.09206,-0.158925,1.6312,-2.16188,-4.18135,-1.2669,-1.66166,-2.98283,-2.2587,-3.1891,-7.80887,0.724361,-0.158925
-98.0345,0.868105,0.141821,4,15,0,103.783,0.0911744,1.60449,1.39697,1.22727,-0.00814675,2.10491,-2.24713,-3.57207,-1.49952,-2.12452,-1.70379,-2.6094,-5.74968,-7.95559,0.0911744,-0.00814675
-92.8287,0.314492,0.165233,4,31,0,104.249,0.528578,1.84086,1.13855,1.12535,-0.0551468,2.29829,-2.09431,-4.05365,-1.44856,-2.19956,-1.73812,-2.09875,-4.86091,-8.00358,0.528578,-0.0551468
-93.2068,0.994624,0.0656347,5,31,0,100.394,0.403004,1.70107,0.795339,2.99679,-0.104716,1.90928,-1.32878,-4.50438,-1.8589,-1.56508,-2.20593,-1.85267,-4.66751,-7.84422,0.403004,-0.104716
-90.8389,0.993194,0.097837,4,15,0,96.5262,0.0147789,1.90866,0.959988,2.92036,-0.190948,2.11256,-1.40084,-3.46317,-1.82936,-2.13041,-1.78894,-1.66433,-3.57681,-7.93911,0.0147789,-0.190948
-95.8152,0.711985,0.144894,4,15,0,100.895,0.0255741,2.33583,1.01506,0.827842,-0.439142,1.74336,-1.72031,-2.62394,-2.25286,-1.60509,-1.65735,-1.70448,-2.88449,-7.84259,0.0255741,-0.439142
-108.805,0.721467,0.124797,4,15,0,120.35,0.375946,1.27312,1.71711,0.944965,-0.978463,2.81562,-1.26929,-6.98559,-2.10863,-1.45387,-1.33988,-3.21114,-6.15768,-8.40147,0.375946,-0.978463
-107.992,0.887872,0.109586,5,31,0,117.065,-0.45787,1.81135,0.955489,2.4793,-0.171014,2.0716,-1.05178,-4.65604,-1.07267,-1.23598,-1.45892,-1.00529,-4.59296,-7.94465,-0.45787,-0.171014
-100.129,0.727152,0.132098,5,31,0,110.827,-0.117027,1.70811,0.92521,2.37874,-0.0438122,2.20846,-2.33859,-4.81961,-2.33028,-1.26734,-1.36229,-1.03198,-4.19986,-7.96722,-0.117027,-0.0438122
-102.4,0.919905,0.117336,5,31,0,108.29,0.939667,1.86642,1.04701,1.05153,-0.135935,1.98939,-1.22555,-3.66704,-1.10537,-2.05104,-1.42385,-3.49015,-4.42768,-7.89514,0.939667,-0.135935
-102.96,0.530293,0.149906,4,15,0,111.556,-0.0932007,2.14484,1.69081,2.03138,0.0530126,1.51058,-2.05018,-1.44255,-1.01668,-1.65768,-1.652,-1.34653,-2.84903,-7.79351,-0.0932007,0.0530126
-101.706,0.970742,0.09213,4,31,0,109.682,-0.125226,1.94089,1.01876,1.16781,0.382691,1.80014,-1.36332,-4.88776,-1.00585,-1.18729,-1.52662,-1.40644,-3.45027,-7.8271,-0.125226,0.382691
-94.8231,0.494354,0.129247,4,31,0,105.181,-0.163302,2.09714,0.707862,2.48039,0.649864,1.50036,-1.36795,-3.38667,-1.16527,-1.30052,-1.3803,-1.09432,-2.94803,-7.73709,-0.163302,0.649864
