# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-195.013,0.998744,0.353828,4,15,0,199.691,-0.340023,0.680461,1.01026,-2.99655,-0.340023
-194.137,0.994009,0.562656,2,3,0,195.282,-0.278646,0.671701,1.03309,-2.97908,-0.278646
-195.427,0.7839,0.880614,3,7,0,196.923,-0.184221,0.816033,1.29261,-3.60764,-0.184221
-192.682,1,0.868163,2,3,0,195.259,-0.322479,0.654825,1.13103,-2.95441,-0.322479
-192.851,0.978362,1.36573,2,3,0,192.894,-0.0189537,0.756376,1.17979,-3.32087,-0.0189537
-193.55,0.524332,2.04012,2,3,0,193.76,-0.12144,0.606006,1.13821,-2.86604,-0.12144
-195.995,0.128651,1.14921,2,3,0,199.395,-0.0258077,0.848687,1.19361,-3.77026,-0.0258077
-194.483,0.999961,0.280882,3,7,0,196.171,0.0413186,0.814078,1.18393,-3.59165,0.0413186
-192.907,0.999575,0.439969,3,7,0,195.172,-0.0686326,0.730776,1.0901,-3.196,-0.0686326
-193.35,0.939329,0.685172,3,7,0,194.515,-0.131048,0.670971,1.06415,-2.99289,-0.131048
-192.88,0.991652,0.936129,3,7,0,193.768,-0.0830704,0.675439,1.09456,-3.01585,-0.0830704
-193.525,0.451952,1.42124,2,3,0,194.995,-0.356347,0.784627,1.18651,-3.42238,-0.356347
-193.673,0.989038,0.703012,3,7,0,194.744,-0.167758,0.787761,1.2259,-3.45568,-0.167758
-195.882,0.774119,1.05836,2,3,0,198.101,-0.693828,0.732759,1.32684,-3.2442,-0.693828
-197.003,0.59778,1.02155,3,7,0,200.509,0.418257,0.702584,1.07278,-3.16272,0.418257
